competition_id;skill_id
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;2
18;2
18;2
18;2
18;2
18;2
18;2
18;3
18;3
18;3
18;3
18;3
18;3
18;3
18;4
18;4
18;4
18;4
18;4
18;4
18;4
18;5
18;5
18;5
18;5
18;5
18;6
18;6
18;6
18;6
18;6
18;6
18;6
18;7
18;7
18;7
18;7
18;7
18;7
18;8
18;8
18;9
18;9
18;9
18;9
18;9
18;9
18;10
18;10
18;10
18;10
18;10
18;10
18;10
18;10
18;10
18;11
18;11
18;11
18;11
18;11
18;11
18;13
18;14
18;14
18;14
18;14
18;15
18;15
18;15
18;15
18;15
18;15
18;15
18;15
18;16
18;16
18;16
18;16
18;16
18;16
18;16
18;18
18;18
18;19
18;20
18;20
18;21
18;22
18;22
18;22
18;22
18;23
18;23
18;23
18;23
18;23
18;24
18;24
18;24
18;24
18;24
18;24
18;24
18;24
18;25
18;25
18;25
17;26
17;26
17;26
17;26
17;27
17;27
17;27
17;27
17;27
17;27
17;28
17;28
17;28
17;29
17;30
17;30
17;30
17;31
17;31
17;31
17;31
17;31
17;31
17;31
17;31
17;31
17;31
17;31
17;32
17;32
17;32
17;32
17;32
17;32
17;32
17;32
17;32
17;33
17;33
17;33
17;33
17;33
17;33
17;33
17;33
17;34
17;34
17;34
17;34
16;34
16;34
16;34
16;34
16;34
16;34
16;34
16;34
16;34
16;35
16;35
16;35
16;35
16;35
16;35
16;35
16;35
16;35
16;35
16;35
16;36
16;36
16;36
16;36
16;36
16;36
16;36
16;37
16;37
16;41
16;41
16;41
16;41
16;41
16;41
16;41
16;41
16;42
16;42
15;42
15;42
15;42
15;42
15;42
15;42
15;43
15;43
15;43
15;43
15;44
15;44
15;44
15;44
15;45
15;45
15;45
15;45
15;45
15;45
15;45
15;45
15;46
15;46
15;46
15;46
15;46
15;46
15;46
15;46
15;46
15;46
15;47
15;47
15;47
15;47
15;47
15;47
15;47
15;47
15;47
15;48
15;48
15;48
15;48
15;48
15;48
15;48
15;48
15;48
15;49
15;49
15;49
15;49
15;49
15;49
15;49
15;49
15;49
15;50
15;50
15;50
15;50
15;50
15;50
15;50
15;51
15;51
15;51
15;51
15;51
15;51
15;51
15;51
15;51
15;52
15;52
15;52
15;52
15;52
15;52
15;52
15;52
15;52
15;52
15;52
15;52
15;52
15;52
14;52
13;52
13;53
13;53
13;53
13;53
13;53
13;53
13;53
13;54
13;54
13;54
13;54
13;54
13;54
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;55
13;56
13;56
13;56
13;57
13;57
13;57
13;57
13;57
13;57
13;57
13;57
13;57
13;57
13;58
13;58
13;58
13;58
13;58
13;58
13;59
13;59
13;59
13;59
13;59
13;59
13;67
13;67
13;67
13;67
13;68
13;68
13;68
13;68
13;68
13;68
13;68
13;68
13;69
13;69
13;69
13;69
13;69
13;69
13;69
13;69
13;70
13;70
13;70
13;70
13;70
13;70
13;70
13;70
13;70
13;70
13;71
13;71
13;71
13;71
13;71
13;71
13;71
13;71
13;72
13;72
13;72
13;72
13;72
13;72
13;72
12;72
12;72
12;72
12;73
12;73
12;73
12;73
12;73
12;73
12;73
12;73
12;74
12;74
12;74
12;74
12;74
12;74
12;74
12;74
12;74
12;75
12;75
11;75
11;75
11;75
11;75
11;75
11;75
11;75
11;76
11;76
11;76
11;76
11;76
11;76
11;76
11;76
11;76
11;76
11;77
11;77
11;77
11;77
11;77
11;77
11;77
11;77
11;77
11;77
11;77
11;78
11;78
11;78
11;78
11;78
11;78
11;78
11;78
11;78
11;78
11;79
11;79
11;79
11;79
11;79
11;79
11;79
11;79
11;79
11;79
11;79
11;79
11;80
11;80
11;80
11;80
11;80
